Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24BSMA101,Matrices and Calculus,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24HSEN101,Communicative English,3,HS,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24BSPH101,Engineering Physics,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24BSCY101,Engineering Chemistry,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24ESCS101,Problem Solving and Programming in C,3,ES,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24ESGE101,Engineering Graphics,3,ES,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24HSTA101,Heritage of Tamils,1,HS,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24BSPL101,Physics and Chemistry Laboratory,2,BS,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24ESPL101,Programming in C Laboratory,1,ES,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24ENTP101,Functional Life Skills,1,TP,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,1,24ESID101,Idea Engineering Lab - I,1,ID,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,2,24BSMA202,"Differential Equations, Complex Variables and Transforms",4,BS,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,2,24HSEN201,Professional English,2,HS,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,2,24BSPH201,Physics of Electronic Devices,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Electrical and Electronics Engineering,EEE,R2024,2,24BSCY201,Chemistry for Environment and Sustainability,3,BS,,core
